Date,Open,High,Low,Close
09/01/16,575.55,576.31,571.81,572.30
09/02/16,572.41,575.64,570.81,575.54
09/03/16,575.55,599.50,574.06,598.21
09/04/16,598.59,611.84,596.85,608.63
09/05/16,608.99,609.05,602.24,606.59
09/06/16,606.51,610.83,605.09,610.44
09/07/16,610.57,614.54,608.51,614.54
09/08/16,614.64,628.77,613.84,626.32
09/09/16,626.35,626.83,620.26,622.86
09/10/16,622.93,625.09,622.40,623.51
09/11/16,623.42,628.82,600.51,606.72
09/12/16,607.01,608.46,605.41,608.24
09/13/16,608.03,611.19,606.92,609.24
09/14/16,608.84,611.95,608.41,610.68
09/15/16,610.59,611.09,607.16,607.16
09/16/16,607.25,609.26,606.73,606.97
09/17/16,607.22,607.86,605.19,605.98
09/18/16,606.28,610.16,605.86,609.87
09/19/16,609.87,610.93,608.27,609.23
09/20/16,609.25,609.53,607.94,608.31
09/21/16,603.59,603.59,595.88,597.15
09/22/16,597.28,598.49,596.21,596.30
09/23/16,596.20,603.21,595.79,602.84
09/24/16,602.96,604.58,602.04,602.63
09/25/16,602.75,603.38,599.71,600.83
09/26/16,600.81,608.14,600.35,608.04
09/27/16,608.02,608.25,604.11,606.17
09/28/16,606.24,606.59,604.61,604.73
09/29/16,605.02,606.82,604.85,605.69
09/30/16,605.72,609.73,604.14,609.73
10/01/16,609.93,615.24,609.93,613.98
10/02/16,613.95,614.01,609.68,610.89
10/03/16,610.97,612.57,610.46,612.13
10/04/16,612.05,612.05,609.48,610.20
10/05/16,610.22,613.81,609.62,612.51
10/06/16,612.47,613.82,611.47,613.02
10/07/16,612.61,617.91,611.82,617.12
10/08/16,617.34,619.85,617.34,619.11
10/09/16,619.17,619.20,616.61,616.75
10/10/16,616.82,621.32,616.20,618.99
10/11/16,619.24,642.08,618.50,641.07
10/12/16,640.87,641.34,635.97,636.19
10/13/16,636.03,638.83,635.03,636.79
10/14/16,637.01,641.28,637.01,640.38
10/15/16,640.31,642.10,637.39,638.65
10/16/16,639.08,642.90,638.90,641.63
10/17/16,641.82,642.33,638.66,639.19
10/18/16,639.41,640.74,636.00,637.96
10/19/16,638.13,638.87,628.01,630.52
10/20/16,630.66,631.92,628.26,630.86
10/21/16,630.83,634.09,630.69,632.83
10/22/16,633.14,658.20,632.85,657.29
10/23/16,657.62,661.13,653.89,657.07
10/24/16,657.16,657.25,652.59,653.76
10/25/16,654.00,664.42,653.70,657.59
10/26/16,657.68,679.73,657.68,678.30
10/27/16,678.21,688.59,678.04,688.31
10/28/16,688.00,690.44,684.16,689.65
10/29/16,690.29,720.40,690.05,714.48
10/30/16,714.12,714.12,696.47,701.86
10/31/16,702.64,709.29,691.68,700.97
11/01/16,701.34,736.45,701.34,729.79
11/02/16,730.07,740.83,722.35,740.83
11/03/16,742.35,745.77,678.16,688.70
11/04/16,689.12,706.93,685.56,703.23
11/05/16,703.53,707.51,697.74,703.42
11/06/16,703.81,714.26,699.56,711.52
11/07/16,710.74,710.74,699.90,703.13
11/08/16,703.09,712.99,702.39,709.85
11/09/16,709.83,740.05,708.61,723.27
11/10/16,722.84,723.02,711.21,715.53
11/11/16,715.55,718.32,714.41,716.41
11/12/16,716.75,717.15,704.03,705.05
11/13/16,705.20,705.26,687.32,702.03
11/14/16,702.00,706.28,699.81,705.02
11/15/16,705.79,715.72,705.26,711.62
11/16/16,711.17,747.61,709.04,744.20
11/17/16,744.88,755.65,739.51,740.98
11/18/16,740.71,752.88,736.89,751.59
11/19/16,751.83,756.24,744.47,751.62
11/20/16,751.88,755.48,717.94,731.03
11/21/16,731.27,741.72,730.51,739.25
11/22/16,739.64,753.87,736.53,751.35
11/23/16,751.74,752.25,738.92,744.59
11/24/16,744.62,746.83,733.49,740.29
11/25/16,740.44,741.65,734.59,741.65
11/26/16,741.51,742.21,729.63,735.38
11/27/16,735.44,739.02,731.09,732.03
11/28/16,732.48,738.01,732.48,735.81
11/29/16,736.33,737.47,734.56,735.60
11/30/16,736.28,747.93,736.27,745.69
12/01/16,746.05,758.28,746.05,756.77
12/02/16,757.54,781.30,757.54,777.94
12/03/16,778.25,778.25,764.86,771.16
12/04/16,771.64,773.87,768.16,773.87
12/05/16,773.39,773.47,751.71,758.70
12/06/16,758.72,765.62,758.72,764.22
12/07/16,764.21,771.54,759.75,768.13
12/08/16,768.08,774.70,765.95,770.81
12/09/16,769.94,774.53,769.65,772.79
12/10/16,773.02,777.09,772.91,774.65
12/11/16,774.75,774.80,765.41,769.73
12/12/16,770.04,781.92,770.04,780.09
12/13/16,780.65,788.46,777.96,780.56
12/14/16,780.01,782.03,776.84,781.48
12/15/16,780.07,781.43,777.80,778.09
12/16/16,778.96,785.03,778.96,784.91
12/17/16,785.17,792.51,784.86,790.83
12/18/16,791.01,794.74,788.03,790.53
12/19/16,790.69,793.61,790.32,792.71
12/20/16,792.25,801.34,791.50,800.88
12/21/16,800.64,834.28,799.41,834.28
12/22/16,834.18,875.78,834.15,864.54
12/23/16,864.89,925.12,864.68,921.98
12/24/16,922.18,923.48,886.34,898.82
12/25/16,899.65,899.65,862.42,896.18
12/26/16,896.91,913.18,896.90,907.61
12/27/16,908.35,940.05,904.26,933.20
12/28/16,934.83,975.92,934.83,975.92
12/29/16,975.13,979.40,954.50,973.50
12/30/16,972.53,972.53,934.83,961.24
12/31/16,960.63,963.74,947.24,963.74
01/01/17,963.66,1003.08,958.70,998.33
01/02/17,998.62,1031.39,996.70,1021.75
01/03/17,1021.60,1044.08,1021.60,1043.84
01/04/17,1044.40,1159.42,1044.40,1154.73
01/05/17,1156.73,1191.10,910.42,1013.38
01/06/17,1014.24,1046.81,883.94,902.20
01/07/17,903.49,908.59,823.56,908.59
01/08/17,908.17,942.72,887.25,911.20
01/09/17,913.24,913.69,879.81,902.83
01/10/17,902.44,914.87,901.06,907.68
01/11/17,908.11,919.45,762.77,777.76
01/12/17,775.18,826.25,755.76,804.83
01/13/17,803.74,829.00,780.00,823.98
01/14/17,825.14,835.09,812.46,818.41
01/15/17,818.14,823.31,812.87,821.80
01/16/17,821.78,834.53,820.27,831.53
01/17/17,830.95,910.56,830.80,907.94
01/18/17,909.37,917.50,858.30,886.62
01/19/17,888.34,904.61,884.34,899.07
01/20/17,898.17,899.40,887.01,895.03
01/21/17,895.55,927.37,895.53,921.79
01/22/17,922.21,937.53,897.56,924.67
01/23/17,925.50,928.27,916.74,921.01
01/24/17,910.68,924.15,892.29,892.69
01/25/17,891.92,903.25,891.69,901.54
01/26/17,902.40,919.33,902.22,917.59
01/27/17,918.36,923.22,915.85,919.75
01/28/17,919.81,923.91,919.81,921.59
01/29/17,922.07,923.42,919.15,919.50
01/30/17,920.15,923.05,919.47,920.38
01/31/17,920.96,972.02,920.96,970.40
02/01/17,970.94,989.11,970.74,989.02
02/02/17,990.00,1013.52,983.22,1011.80
02/03/17,1011.46,1033.87,1008.79,1029.91
02/04/17,1031.33,1045.90,1015.16,1042.90
02/05/17,1043.52,1043.63,1022.37,1027.34
02/06/17,1028.40,1044.64,1028.16,1038.15
02/07/17,1040.14,1061.93,1040.14,1061.35
02/08/17,1062.32,1078.97,1037.49,1063.07
02/09/17,1064.70,1088.99,953.34,994.38
02/10/17,995.63,998.91,946.69,988.67
02/11/17,988.90,1009.29,982.83,1004.45
02/12/17,1003.52,1004.76,996.92,999.18
02/13/17,998.89,1002.10,976.00,990.64
02/14/17,991.73,1011.51,986.47,1004.55
02/15/17,1006.21,1008.84,1001.58,1007.48
02/16/17,1007.65,1033.37,1007.65,1027.44
02/17/17,1026.12,1053.17,1025.64,1046.21
02/18/17,1049.21,1061.10,1046.96,1054.42
02/19/17,1054.76,1056.81,1043.46,1047.87
02/20/17,1048.69,1080.49,1041.69,1079.98
02/21/17,1079.28,1117.25,1076.93,1115.30
02/22/17,1114.80,1125.39,1100.55,1117.44
02/23/17,1117.27,1176.62,1116.96,1166.72
02/24/17,1172.71,1200.39,1131.96,1173.68
02/25/17,1170.41,1174.85,1124.59,1143.84
02/26/17,1144.27,1167.47,1130.20,1165.20
02/27/17,1163.78,1181.98,1163.38,1179.97
02/28/17,1180.72,1193.25,1171.82,1179.97
03/01/17,1180.04,1222.50,1179.69,1222.50
03/02/17,1224.68,1262.13,1215.62,1251.01
03/03/17,1250.71,1280.31,1250.71,1274.99
03/04/17,1277.43,1279.40,1230.51,1255.15
03/05/17,1254.29,1267.29,1238.06,1267.12
03/06/17,1267.47,1276.00,1264.60,1272.83
03/07/17,1273.21,1275.55,1204.80,1223.54
03/08/17,1223.23,1232.16,1148.08,1150.00
03/09/17,1150.35,1197.46,1141.23,1188.49
03/10/17,1189.36,1270.47,1077.25,1116.72
03/11/17,1116.32,1193.83,1116.32,1175.83
03/12/17,1176.62,1226.98,1175.36,1221.38
03/13/17,1221.78,1237.37,1217.03,1231.92
03/14/17,1232.16,1244.81,1220.72,1240.00
03/15/17,1240.16,1251.61,1239.75,1249.61
03/16/17,1251.33,1257.98,1152.44,1187.81
03/17/17,1180.16,1180.16,1099.57,1100.23
03/18/17,1099.69,1114.07,957.66,973.82
03/19/17,976.73,1069.91,976.73,1036.74
03/20/17,1037.24,1063.03,1036.68,1054.23
03/21/17,1055.36,1122.43,1055.36,1120.54
03/22/17,1120.65,1120.65,1014.21,1049.14
03/23/17,1050.05,1058.01,1028.93,1038.59
03/24/17,1038.45,1040.47,934.36,937.52
03/25/17,936.54,975.76,903.71,972.78
03/26/17,974.02,1007.96,954.19,966.72
03/27/17,972.05,1046.40,971.98,1045.77
03/28/17,1044.58,1064.65,1027.73,1047.15
03/29/17,1046.08,1055.13,1015.88,1039.97
03/30/17,1042.21,1049.29,1020.04,1026.43
03/31/17,1026.64,1074.92,1026.64,1071.79
04/01/17,1071.71,1091.72,1061.09,1080.50
04/02/17,1080.61,1107.59,1075.45,1102.17
04/03/17,1102.95,1151.74,1102.95,1143.81
04/04/17,1145.52,1156.44,1120.52,1133.25
04/05/17,1134.14,1135.09,1113.63,1124.78
04/06/17,1125.81,1188.37,1125.81,1182.68
04/07/17,1178.94,1186.58,1163.39,1176.90
04/08/17,1172.65,1184.98,1162.58,1175.95
04/09/17,1176.57,1197.21,1171.86,1187.87
04/10/17,1187.30,1190.34,1179.04,1187.13
04/11/17,1187.46,1208.07,1187.46,1205.01
04/12/17,1204.81,1207.14,1196.76,1200.37
04/13/17,1201.02,1205.89,1156.44,1169.28
04/14/17,1170.33,1190.80,1159.79,1167.54
04/15/17,1167.30,1188.00,1164.96,1172.52
04/16/17,1172.61,1187.22,1172.61,1182.94
04/17/17,1183.25,1194.90,1172.65,1193.91
04/18/17,1193.77,1217.57,1193.77,1211.67
04/19/17,1212.13,1215.51,1205.08,1210.29
04/20/17,1211.08,1240.79,1208.41,1229.08
04/21/17,1229.42,1235.94,1215.56,1222.05
04/22/17,1222.71,1235.56,1208.47,1231.71
04/23/17,1231.92,1232.20,1203.94,1207.21
04/24/17,1209.63,1250.94,1209.63,1250.15
04/25/17,1250.45,1267.58,1249.97,1265.49
04/26/17,1265.99,1294.83,1265.93,1281.08
04/27/17,1281.88,1319.70,1281.30,1317.73
04/28/17,1317.74,1331.28,1292.37,1316.48
04/29/17,1317.84,1327.20,1315.21,1321.79
04/30/17,1321.87,1347.91,1314.92,1347.89
05/01/17,1348.30,1434.32,1348.30,1421.60
05/02/17,1421.03,1473.90,1415.69,1452.82
05/03/17,1453.78,1492.77,1447.49,1490.09
05/04/17,1490.72,1608.91,1490.72,1537.67
05/05/17,1540.87,1618.03,1530.31,1555.45
05/06/17,1556.81,1578.80,1542.50,1578.80
05/07/17,1579.47,1596.72,1559.76,1596.71
05/08/17,1596.92,1723.35,1596.92,1723.35
05/09/17,1723.89,1833.49,1716.30,1755.36
05/10/17,1756.52,1788.44,1719.10,1787.13
05/11/17,1780.37,1873.93,1755.35,1848.57
05/12/17,1845.76,1856.15,1694.01,1724.24
05/13/17,1723.12,1812.99,1651.08,1804.91
05/14/17,1800.86,1831.42,1776.62,1808.91
05/15/17,1808.44,1812.80,1708.54,1738.43
05/16/17,1741.70,1785.94,1686.54,1734.45
05/17/17,1726.73,1864.05,1661.91,1839.09
05/18/17,1818.70,1904.48,1807.12,1888.65
05/19/17,1897.37,2004.52,1890.25,1987.71
05/20/17,1984.24,2084.73,1974.92,2084.73
05/21/17,2067.03,2119.08,2037.50,2041.20
05/22/17,2043.19,2303.90,2017.87,2173.40
05/23/17,2191.56,2320.82,2178.50,2320.42
05/24/17,2321.37,2523.72,2321.37,2443.64
05/25/17,2446.24,2763.71,2285.30,2304.98
05/26/17,2320.89,2573.79,2071.99,2202.42
05/27/17,2196.27,2260.20,1855.83,2038.87
05/28/17,2054.08,2267.34,2054.08,2155.80
05/29/17,2159.43,2307.05,2107.17,2255.61
05/30/17,2255.36,2301.96,2124.57,2175.47
05/31/17,2187.19,2311.08,2145.57,2286.41
06/01/17,2288.33,2448.39,2288.33,2407.88
06/02/17,2404.03,2488.55,2373.32,2488.55
06/03/17,2493.72,2581.91,2423.57,2515.35
06/04/17,2547.79,2585.89,2452.54,2511.81
06/05/17,2512.40,2686.81,2510.22,2686.81
06/06/17,2690.84,2999.91,2690.84,2863.20
