Date,Price
03/11/14,100.29
03/12/14,98.29
03/13/14,98.57
03/14/14,99.23
03/17/14,98.43
03/18/14,100.08
03/19/14,100.71
03/20/14,99.68
03/21/14,99.97
03/24/14,100.05
03/25/14,99.66
03/26/14,100.61
03/27/14,101.25
03/28/14,101.73
03/31/14,101.57
04/01/14,99.69
04/02/14,99.6
04/03/14,100.29
04/04/14,101.16
04/07/14,100.43
04/08/14,102.57
04/09/14,103.55
04/10/14,103.37
04/11/14,103.68
04/14/14,104.05
04/15/14,103.7
04/16/14,103.71
04/17/14,104.33
04/21/14,104.35
04/22/14,101.69
04/23/14,101.47
04/24/14,102.2
04/25/14,100.85
04/28/14,101.13
04/29/14,101.56
04/30/14,100.07
05/01/14,99.69
05/02/14,100.09
05/05/14,99.74
05/06/14,99.81
05/07/14,101.06
05/08/14,100.52
05/09/14,100.32
05/12/14,100.89
05/13/14,102.01
05/14/14,102.63
05/15/14,101.74
05/16/14,102.31
05/19/14,102.95
05/20/14,102.8
05/21/14,104.31
05/22/14,104.03
05/23/14,105.01
05/27/14,104.78
05/28/14,103.37
05/29/14,104.26
05/30/14,103.4
06/02/14,103.07
06/03/14,103.34
06/04/14,103.27
06/05/14,103.17
06/06/14,103.32
06/09/14,105.09
06/10/14,105.02
06/11/14,105.04
06/12/14,107.2
06/13/14,107.49
06/16/14,107.52
06/17/14,106.95
06/18/14,106.64
06/19/14,107.08
06/20/14,107.95
06/23/14,106.83
06/24/14,106.64
06/25/14,107.04
06/26/14,106.49
06/27/14,106.46
06/30/14,106.07
07/01/14,106.06
07/02/14,105.18
07/03/14,104.76
07/07/14,104.19
07/08/14,104.06
07/09/14,102.93
07/10/14,103.61
07/11/14,101.48
07/14/14,101.73
07/15/14,100.56
07/16/14,101.88
07/17/14,103.84
07/18/14,103.83
07/21/14,105.34
07/22/14,104.59
07/23/14,103.81
07/24/14,102.76
07/25/14,105.23
07/28/14,105.68
07/29/14,104.91
07/30/14,104.29
07/31/14,98.23
08/01/14,97.86
08/04/14,98.26
08/05/14,97.34
08/06/14,96.93
08/07/14,97.34
08/08/14,97.61
08/11/14,98.09
08/12/14,97.36
08/13/14,97.57
08/14/14,95.54
08/15/14,97.3
08/18/14,96.44
08/19/14,94.35
08/20/14,96.4
08/21/14,93.97
08/22/14,93.61
08/25/14,95.39
08/26/14,95.78
08/27/14,95.82
08/28/14,96.44
08/29/14,97.86
09/02/14,92.92
09/03/14,95.5
09/04/14,94.51
09/05/14,93.32
09/08/14,92.64
09/09/14,92.73
09/10/14,91.71
09/11/14,92.89
09/12/14,92.18
09/15/14,92.86
09/16/14,94.91
09/17/14,94.33
09/18/14,93.07
09/19/14,92.43
09/22/14,91.46
09/23/14,91.55
09/24/14,93.6
09/25/14,93.59
09/26/14,95.55
09/29/14,94.53
09/30/14,91.17
10/01/14,90.74
10/02/14,91.02
10/03/14,89.76
10/06/14,90.33
10/07/14,88.89
10/08/14,87.29
10/09/14,85.76
10/10/14,85.87
10/13/14,85.73
10/14/14,81.72
10/15/14,81.82
10/16/14,82.33
10/17/14,82.8
10/20/14,82.76
10/21/14,83.25
10/22/14,80.52
10/23/14,82.81
10/24/14,81.27
10/27/14,81.26
10/28/14,81.36
10/29/14,82.25
10/30/14,81.06
10/31/14,80.53
11/03/14,78.77
11/04/14,77.15
11/05/14,78.71
11/06/14,77.87
11/07/14,78.71
11/10/14,77.43
11/11/14,77.85
11/12/14,77.16
11/13/14,74.13
11/14/14,75.91
11/17/14,75.64
11/18/14,74.55
11/19/14,74.55
11/20/14,75.63
11/21/14,76.52
11/24/14,75.74
11/25/14,74.04
11/26/14,73.7
11/28/14,65.94
12/01/14,68.98
12/02/14,66.99
12/03/14,67.3
12/04/14,66.73
12/05/14,65.89
12/08/14,63.13
12/09/14,63.74
12/10/14,60.99
12/11/14,60.01
12/12/14,57.81
12/15/14,55.96
12/16/14,55.97
12/17/14,56.43
12/18/14,54.18
12/19/14,56.91
12/22/14,55.25
12/23/14,56.78
12/24/14,55.7
12/26/14,54.59
12/29/14,53.46
12/30/14,54.14
12/31/14,53.45
01/02/15,52.72
01/05/15,50.05
01/06/15,47.98
01/07/15,48.69
01/08/15,48.8
01/09/15,48.35
01/12/15,46.06
01/13/15,45.92
01/14/15,48.49
01/15/15,46.37
01/16/15,48.49
01/20/15,46.79
01/21/15,47.85
01/22/15,45.93
01/23/15,45.26
01/26/15,44.8
01/27/15,45.84
01/28/15,44.08
01/29/15,44.12
01/30/15,47.79
02/02/15,49.25
02/03/15,53.04
02/04/15,48.45
02/05/15,50.48
02/06/15,51.66
02/09/15,52.99
02/10/15,50.06
02/11/15,48.8
02/12/15,51.17
02/13/15,52.66
02/17/15,53.56
02/18/15,52.13
02/19/15,51.12
02/20/15,49.95
02/23/15,49.56
02/24/15,48.48
02/25/15,50.25
02/26/15,47.65
02/27/15,49.84
03/02/15,49.59
03/03/15,50.43
03/04/15,51.53
03/05/15,50.76
03/06/15,49.61
03/09/15,49.95
03/10/15,48.42
03/11/15,48.06
03/12/15,47.12
03/13/15,44.88
03/16/15,43.93
03/17/15,43.39
03/18/15,44.63
03/19/15,44.02
03/20/15,46
03/23/15,47.4
03/24/15,47.03
03/25/15,48.75
03/26/15,51.41
03/27/15,48.83
03/30/15,48.66
03/31/15,47.72
04/01/15,50.12
04/02/15,49.13
04/06/15,52.08
04/07/15,53.95
04/08/15,50.44
04/09/15,50.79
04/10/15,51.63
04/13/15,51.95
04/14/15,53.3
04/15/15,56.25
04/16/15,56.69
04/17/15,55.71
04/20/15,56.37
04/21/15,55.58
04/22/15,56.17
04/23/15,56.59
04/24/15,55.98
04/27/15,55.56
04/28/15,57.05
04/29/15,58.55
04/30/15,59.62
05/01/15,59.1
05/04/15,58.92
05/05/15,60.38
05/06/15,60.93
05/07/15,58.99
05/08/15,59.41
05/11/15,59.23
05/12/15,60.72
05/13/15,60.5
05/14/15,59.89
05/15/15,59.73
05/18/15,59.44
