day,month,year,EPU,Date
1,1,2015,137.22,01/01/15
2,1,2015,93.14,01/02/15
3,1,2015,79.59,01/03/15
4,1,2015,163.12,01/04/15
5,1,2015,90.66,01/05/15
6,1,2015,85.46,01/06/15
7,1,2015,57.14,01/07/15
8,1,2015,59.56,01/08/15
9,1,2015,44.45,01/09/15
10,1,2015,90.61,01/10/15
11,1,2015,110.37,01/11/15
12,1,2015,99.54,01/12/15
13,1,2015,68.71,01/13/15
14,1,2015,82.58,01/14/15
15,1,2015,88.27,01/15/15
16,1,2015,50.91,01/16/15
17,1,2015,78.8,01/17/15
18,1,2015,131.37,01/18/15
19,1,2015,72.54,01/19/15
20,1,2015,74.06,01/20/15
21,1,2015,43.82,01/21/15
22,1,2015,85.21,01/22/15
23,1,2015,82.9,01/23/15
24,1,2015,75.04,01/24/15
25,1,2015,87.69,01/25/15
26,1,2015,54.5,01/26/15
27,1,2015,55.58,01/27/15
28,1,2015,77.51,01/28/15
29,1,2015,32.14,01/29/15
30,1,2015,65.15,01/30/15
31,1,2015,82.5,01/31/15
1,2,2015,66.55,02/01/15
2,2,2015,79.45,02/02/15
3,2,2015,65.6,02/03/15
4,2,2015,67.26,02/04/15
5,2,2015,115.17,02/05/15
6,2,2015,59.12,02/06/15
7,2,2015,48.01,02/07/15
8,2,2015,75.83,02/08/15
9,2,2015,87.49,02/09/15
10,2,2015,83.73,02/10/15
11,2,2015,50.54,02/11/15
12,2,2015,26.96,02/12/15
13,2,2015,54.65,02/13/15
14,2,2015,56.6,02/14/15
15,2,2015,67.8,02/15/15
16,2,2015,37.41,02/16/15
17,2,2015,50.67,02/17/15
18,2,2015,37.15,02/18/15
19,2,2015,102.56,02/19/15
20,2,2015,35.63,02/20/15
21,2,2015,50.96,02/21/15
22,2,2015,62.23,02/22/15
23,2,2015,76.09,02/23/15
24,2,2015,128.86,02/24/15
25,2,2015,74.82,02/25/15
26,2,2015,74.61,02/26/15
27,2,2015,116.63,02/27/15
28,2,2015,70.02,02/28/15
1,3,2015,90.02,03/01/15
2,3,2015,91.47,03/02/15
3,3,2015,37.66,03/03/15
4,3,2015,89.94,03/04/15
5,3,2015,69.01,03/05/15
6,3,2015,47.16,03/06/15
7,3,2015,72.56,03/07/15
8,3,2015,70.57,03/08/15
9,3,2015,63.31,03/09/15
10,3,2015,85.17,03/10/15
11,3,2015,44.39,03/11/15
12,3,2015,33.9,03/12/15
13,3,2015,52.24,03/13/15
14,3,2015,39.04,03/14/15
15,3,2015,36.66,03/15/15
16,3,2015,53.97,03/16/15
17,3,2015,37.53,03/17/15
18,3,2015,78.2,03/18/15
19,3,2015,52.74,03/19/15
20,3,2015,56.33,03/20/15
21,3,2015,39.84,03/21/15
