Date,Open,High,Low,Close,Adj Close,Volume
08/06/15,0.6747,3,0.6747,3,3,371
08/07/15,3,3,0.15,1.2,1.2,1438
08/08/15,1.2,1.2,1.2,1.2,1.2,0
08/09/15,1.2,1.2,1.2,1.2,1.2,0
08/10/15,1.2,1.2,0.6504,0.99,0.99,7419
08/11/15,0.99,1.29,0.905,1.29,1.29,2376
08/12/15,1.29,1.88,1.26,1.88,1.88,4923
08/13/15,1.88,2.1,1.79,1.79,1.79,11070
08/14/15,1.79,1.79,1.5,1.79,1.79,14812
08/15/15,1.79,1.79,0.5,1.37,1.37,10794
08/16/15,1.37,1.59,1.25,1.3,1.3,6063
08/17/15,1.3,1.36,1.15,1.36,1.36,2867
08/18/15,1.36,1.36,0.99,1.24,1.24,4769
08/19/15,1.24,1.52,1.24,1.52,1.52,1771
08/20/15,1.52,1.53,1.44,1.44,1.44,9197
08/21/15,1.44,1.44,1.4,1.4,1.4,321
08/22/15,1.4,1.4,1.31,1.35,1.35,438
08/23/15,1.35,1.35,1.24,1.24,1.24,6460
08/24/15,1.24,1.28,1.22,1.27,1.27,1188
08/25/15,1.27,1.27,1.08,1.18,1.18,2337
08/26/15,1.18,1.19,1.14,1.14,1.14,269
08/27/15,1.14,1.3,1.14,1.3,1.3,26922
08/28/15,1.3,1.3,1.15,1.18,1.18,383
08/29/15,1.18,1.35,1.17,1.32,1.32,10975
08/30/15,1.32,1.32,0.9,1.31,1.31,3959
08/31/15,1.31,1.38,1.31,1.36,1.36,1220
09/01/15,1.36,1.37,1.14,1.14,1.14,698
09/02/15,1.14,1.33,1.14,1.23,1.23,3717
09/03/15,1.28,1.4,1.28,1.35,1.35,18
09/04/15,1.23,1.37,1.23,1.37,1.37,10437
09/05/15,1.37,1.39,1.34,1.34,1.34,145
09/06/15,1.34,1.34,1.28,1.28,1.28,526
09/07/15,1.28,1.28,1.26,1.26,1.26,103
09/08/15,1.26,1.26,1.21,1.21,1.21,27
09/09/15,1.21,1.21,1.12,1.19,1.19,3361
09/10/15,1.19,1.19,0.9242,0.9242,0.9242,3066
09/11/15,0.9242,1.15,0.9242,1.15,1.15,513
09/12/15,1.15,1.15,0.8837,0.8856,0.8856,3817
09/13/15,0.8856,0.9622,0.885,0.955,0.955,805
09/14/15,0.955,1,0.804,0.95,0.95,2273
09/15/15,0.95,0.9563,0.9363,0.9363,0.9363,47
09/16/15,0.9363,0.9363,0.8238,0.875,0.875,129
09/17/15,0.875,0.88,0.8523,0.8523,0.8523,593
09/18/15,0.8523,0.89,0.8013,0.89,0.89,3
09/19/15,0.89,0.89,0.88,0.8871,0.8871,12
09/20/15,0.8871,0.95,0.8871,0.9412,0.9412,171
09/21/15,0.9412,0.9412,0.8059,0.8059,0.8059,175
09/22/15,0.8059,0.91,0.8059,0.91,0.91,13
09/23/15,0.91,0.91,0.8,0.8,0.8,568
09/24/15,0.8,0.8,0.6823,0.6823,0.6823,2184
09/25/15,0.6823,0.7703,0.6805,0.7703,0.7703,58
09/26/15,0.7703,0.7703,0.7007,0.7008,0.7008,10
09/27/15,0.7008,0.7047,0.6,0.6,0.6,3491
09/28/15,0.6,0.6816,0.5,0.6816,0.6816,11590
09/29/15,0.6816,0.74,0.5046,0.7137,0.7137,529
09/30/15,0.7137,0.7137,0.6545,0.6548,0.6548,457
10/01/15,0.6548,0.666,0.6548,0.6647,0.6647,266
10/02/15,0.6647,0.6796,0.6647,0.6796,0.6796,34
10/03/15,0.6796,0.6747,0.6095,0.6095,0.6095,533
10/04/15,0.6095,0.6095,0.6078,0.6078,0.6078,35
10/05/15,0.6078,0.6511,0.6091,0.6511,0.6511,15
10/06/15,0.6511,0.611,0.6,0.6,0.6,1236
10/07/15,0.6,0.64,0.6,0.62,0.62,3673
10/08/15,0.62,0.6352,0.5701,0.6352,0.6352,1298
10/09/15,0.75,0.75,0.6351,0.6351,0.6351,0
10/10/15,0.6352,0.5993,0.5993,0.5993,0.5993,8
10/11/15,0.5993,0.639,0.63,0.63,0.63,13
10/12/15,0.63,0.65,0.6016,0.6017,0.6017,471
10/13/15,0.6017,0.6017,0.5,0.5,0.5,1538
10/14/15,0.5,0.56,0.4832,0.56,0.56,128
10/15/15,0.56,0.5622,0.525,0.525,0.525,210
10/16/15,0.525,0.54,0.52,0.523,0.523,855
10/17/15,0.523,0.52,0.505,0.505,0.505,534
10/18/15,0.505,0.505,0.4821,0.5,0.5,780
10/19/15,0.5,0.4805,0.44,0.44,0.44,682
10/20/15,0.44,0.4719,0.42,0.42,0.42,707
10/21/15,0.42,0.609,0.411,0.609,0.609,1759
10/22/15,0.609,0.609,0.5,0.5649,0.5649,2166
10/23/15,0.5649,0.5561,0.51,0.5561,0.5561,156
10/24/15,0.5561,0.67,0.5875,0.62,0.62,902
10/26/15,0.62,0.706,0.62,0.706,0.706,1190
10/27/15,0.706,0.901,0.7012,0.83,0.83,1738
10/28/15,0.83,1.01,0.82,0.99,0.99,4611
10/29/15,0.99,1.2,0.9717,1.12,1.12,4937
10/30/15,1.12,1.34,1.12,1.14,1.14,4346
10/31/15,1.14,1.14,0.8676,0.8676,0.8676,804
11/01/15,0.8676,0.99,0.8676,0.99,0.99,176
11/02/15,0.99,1.06,0.9753,0.9878,0.9878,7192
11/03/15,0.9878,1.06,0.8425,1.06,1.06,6124
11/04/15,1.06,1.06,0.7987,0.799,0.799,5189
11/05/15,0.799,1,0.799,0.8764,0.8764,1078
11/06/15,0.8764,0.9899,0.79,0.9899,0.9899,3121
11/07/15,0.9899,0.93,0.8647,0.93,0.93,1195
11/08/15,0.93,1,0.8945,1,1,3067
11/09/15,1,1.08,0.89,0.998,0.998,8903
11/10/15,0.998,1,0.9,0.9,0.9,7531
11/11/15,0.9,0.94,0.73,0.75,0.75,9539
11/12/15,0.75,0.9,0.75,0.88,0.88,2032
11/13/15,0.88,0.9,0.8395,0.9,0.9,1625
11/14/15,0.9,0.91,0.8736,0.88,0.88,469
11/15/15,0.88,0.9193,0.8746,0.9193,0.9193,770
11/16/15,0.9193,0.925,0.6612,0.925,0.925,2699
11/17/15,0.925,1,0.9224,1,1,9189
11/18/15,1,1,0.95,0.9973,0.9973,3299
11/19/15,0.9973,1,0.92,0.94,0.94,1221
11/20/15,0.94,0.94,0.91,0.92,0.92,154
11/21/15,0.92,0.96,0.92,0.96,0.96,378
11/22/15,0.96,0.97,0.8827,0.97,0.97,236
11/23/15,0.97,0.92,0.92,0.92,0.92,775
11/24/15,0.92,0.95,0.91,0.91,0.91,544
11/25/15,0.91,0.9126,0.8674,0.87,0.87,2775
11/26/15,0.87,0.91,0.8155,0.86,0.86,4777
11/27/15,0.86,0.89,0.88,0.88,0.88,719
11/28/15,0.88,0.91,0.88,0.91,0.91,968
11/29/15,0.91,0.91,0.85,0.87,0.87,2380
11/30/15,0.87,0.88,0.8674,0.88,0.88,394
12/01/15,0.88,0.8885,0.8423,0.87,0.87,2502
12/02/15,0.87,0.87,0.8,0.82,0.82,3243
12/03/15,0.82,0.83,0.7979,0.83,0.83,905
12/04/15,0.83,0.84,0.8246,0.84,0.84,527
12/05/15,0.84,0.8699,0.8351,0.8699,0.8699,785
12/06/15,0.8699,0.87,0.825,0.825,0.825,765
12/07/15,0.825,0.825,0.7829,0.79,0.79,1325
12/08/15,0.79,0.898,0.7796,0.8102,0.8102,5379
12/09/15,0.8102,0.8533,0.761,0.8051,0.8051,7556
12/10/15,0.8051,0.8683,0.7797,0.8437,0.8437,5897
12/11/15,0.8437,0.9,0.77,0.8998,0.8998,5965
12/12/15,0.8998,0.96,0.8998,0.96,0.96,5089
12/13/15,0.96,0.9749,0.8835,0.9199,0.9199,980
12/14/15,0.9199,0.99,0.9628,0.99,0.99,4533
12/15/15,0.99,1,0.96,1,1,8124
12/16/15,1,1.1,0.8,0.803,0.803,5846
12/17/15,0.803,0.9701,0.803,0.94,0.94,576
12/18/15,0.94,0.94,0.9,0.9,0.9,376
12/19/15,0.9,0.9193,0.8935,0.8935,0.8935,2153
12/20/15,0.8935,1.07,0.8935,1.07,1.07,1380
12/21/15,1.07,1.07,0.91,0.91,0.91,2543
12/22/15,0.91,0.9999,0.88,0.88,0.88,6918
12/23/15,0.88,0.9897,0.87,0.8709,0.8709,498
12/24/15,0.8709,0.8899,0.85,0.87,0.87,1216
12/25/15,0.87,0.88,0.8569,0.88,0.88,313
12/26/15,0.88,1,0.85,0.853,0.853,2673
12/27/15,0.853,0.918,0.84,0.918,0.918,1168
12/28/15,0.918,0.918,0.84,0.8749,0.8749,3616
12/29/15,0.8749,0.89,0.8433,0.86,0.86,458
12/30/15,0.86,0.929,0.86,0.8925,0.8925,3942
12/31/15,0.8925,0.9666,0.8925,0.9488,0.9488,766
01/01/16,0.9488,0.9488,0.9184,0.92,0.92,43
01/02/16,0.92,0.9547,0.92,0.9547,0.9547,68
01/03/16,0.9547,0.97,0.9506,0.96,0.96,485
01/04/16,0.96,0.9644,0.9186,0.95,0.95,787
01/05/16,0.95,0.9599,0.9409,0.9426,0.9426,735
01/06/16,0.9426,0.952,0.9292,0.95,0.95,1053
01/07/16,0.95,0.96,0.93,0.94,0.94,1618
01/08/16,0.94,0.985,0.94,0.985,0.985,6900
01/09/16,0.985,0.998,0.9654,0.985,0.985,3030
01/10/16,0.985,1,0.9902,1,1,1681
01/11/16,1,1.1,1,1.08,1.08,8945
01/12/16,1.08,1.25,1.05,1.22,1.22,27407
01/13/16,1.22,1.22,1.07,1.14,1.14,9029
01/14/16,1.14,1.16,1.1,1.16,1.16,2056
01/15/16,1.16,1.33,1.16,1.2,1.2,8843
01/16/16,1.2,1.32,1.2,1.22,1.22,8316
01/17/16,1.22,1.31,1.21,1.31,1.31,2321
01/18/16,1.31,1.55,1.31,1.47,1.47,49371
01/19/16,1.47,1.47,1.22,1.22,1.22,4079
01/20/16,1.22,1.61,1.22,1.54,1.54,7820
01/21/16,1.54,1.61,1.4,1.54,1.54,39665
01/22/16,1.54,1.66,1.42,1.52,1.52,11707
01/23/16,1.52,2.03,1.39,2.03,2.03,50006
01/24/16,2.03,2.3,1.1,2.1,2.1,130458
01/25/16,2.1,2.88,2.05,2.5,2.5,52226
01/26/16,2.5,2.8,2.25,2.3,2.3,117514
01/27/16,2.3,2.8,1.88,2.42,2.42,39261
01/28/16,2.42,2.61,2.24,2.55,2.55,15510
01/29/16,2.55,2.61,2.21,2.41,2.41,67942
01/30/16,2.41,2.6,2.37,2.44,2.44,8531
01/31/16,2.44,2.54,2.2,2.2,2.2,39324
02/01/16,2.2,2.32,2,2.17,2.17,27808
02/02/16,2.17,2.45,2.12,2.45,2.45,20326
02/03/16,2.45,2.54,2.3,2.53,2.53,16849
02/04/16,2.53,2.79,2.5,2.57,2.57,37881
02/05/16,2.57,2.59,2.47,2.56,2.56,26847
