Date,Open,High,Low,Close,Adj Close,Volume
07/31/15,4.56,4.61,4.05,4.19,4.19,2792374
08/01/15,4.19,4.2,3.84,4.14,4.14,2845855
08/02/15,4.14,4.37,4.01,4.19,4.19,2325302
08/03/15,4.19,4.45,4.1,4.34,4.34,1770507
08/04/15,4.34,4.39,4.24,4.3,4.3,1080362
08/05/15,4.3,4.32,3.94,4.01,4.01,1936234
08/06/15,4.01,4.19,3.91,4.1,4.1,2250357
08/07/15,4.1,4.18,3.71,3.77,3.77,2584745
08/08/15,3.77,3.97,3.74,3.87,3.87,1728703
08/09/15,3.87,3.97,3.83,3.88,3.88,1007557
08/10/15,3.88,4.11,3.87,4.08,4.08,1549121
08/11/15,4.08,4.19,3.92,3.98,3.98,1723453
08/12/15,3.98,4.01,3.79,3.85,3.85,1239809
08/13/15,3.85,4.08,3.82,3.99,3.99,1502936
08/14/15,3.99,4.03,3.87,3.9,3.9,929563
08/15/15,3.9,4.29,3.84,3.95,3.95,1563419
08/16/15,3.95,4.03,3.91,3.97,3.97,993288
08/17/15,3.97,3.99,3.79,3.82,3.82,1389559
08/18/15,3.82,3.81,3.23,3.4,3.4,4217143
08/19/15,3.4,3.64,3.39,3.57,3.57,1288665
08/20/15,3.57,3.63,3.47,3.54,3.54,897477
08/21/15,3.54,3.58,3.39,3.48,3.48,857886
08/22/15,3.48,3.52,3.27,3.35,3.35,867793
08/23/15,3.35,3.37,2.86,2.92,2.92,4453064
08/24/15,2.92,3.05,2.49,2.93,2.93,6148515
08/25/15,2.93,3.04,2.81,2.92,2.92,2236392
08/26/15,2.92,2.97,2.78,2.8,2.8,890885
08/27/15,2.8,2.94,2.63,2.86,2.86,1825482
08/28/15,2.86,2.92,2.79,2.85,2.85,611562
08/29/15,2.85,2.87,2.71,2.79,2.79,478216
08/30/15,2.79,2.86,2.74,2.82,2.82,616639
08/31/15,2.82,2.86,2.77,2.79,2.79,477902
09/01/15,2.79,2.85,2.66,2.78,2.78,1186377
09/02/15,2.78,2.78,2.52,2.59,2.59,1218169
09/03/15,2.59,2.73,2.6,2.67,2.67,635465
09/04/15,2.67,2.89,2.6,2.86,2.86,1081591
09/05/15,2.86,3.08,2.87,3.05,3.05,1925345
09/06/15,3.05,3.1,2.94,3.05,3.05,909341
09/07/15,3.05,3.15,2.97,3.03,3.03,1291849
09/08/15,3.03,3.05,2.86,2.89,2.89,1215475
09/09/15,2.89,2.97,2.86,2.93,2.93,567574
09/10/15,2.93,2.97,2.9,2.94,2.94,415116
09/11/15,2.94,2.96,2.79,2.82,2.82,673042
09/12/15,2.82,2.85,2.75,2.8,2.8,505264
