Bitcoin,Ethereum,Litecoin,Yuan,Euro,Pound,Gold,Oil,SP
576.31,12.37,3.86,6.6807,0.8988,0.7618,1305.06,43.17,2173.560059
575.64,12.41,3.93,6.6832,0.8971,0.7548,1308.71,44.39,2184.870117
610.83,11.86,3.97,6.6903,0.8979,0.7521,1322.6,44.85,2186.570068
614.54,11.72,4.03,6.6751,0.8907,0.7509,1346.43,45.47,2187.870117
628.77,11.76,3.99,6.6691,0.8902,0.753,1342.44,47.63,2184.939941
626.83,12.06,3.99,6.6842,0.8932,0.7554,1333.2,45.88,2169.080078
608.46,12.14,3.84,6.6823,0.8921,0.7557,1324.04,46.28,2163.300049
611.19,12.06,3.85,6.6814,0.8927,0.7595,1325.29,44.91,2150.469971
611.95,12.14,3.84,6.6822,0.8922,0.7612,1315.95,43.62,2141.330078
611.09,12.81,3.83,6.6734,0.8913,0.7587,1318.1,43.85,2151.310059
609.26,12.92,3.83,6.6734,0.8971,0.7696,1310.82,43.04,2146.47998
610.93,14.75,3.84,6.6755,0.897,0.7693,1310.7,43.34,2153.610107
609.53,14.84,3.94,6.6745,0.8972,0.7724,1311.03,43.85,2150.800049
603.59,13.84,3.89,6.6759,0.8995,0.7726,1312.78,45.33,2165.110107
598.49,13.46,3.84,6.6732,0.8942,0.7676,1329.21,46.1,2179.98999
603.21,13.4,3.86,6.6715,0.8937,0.7744,1331.43,44.36,2173.75
608.25,13.56,3.86,6.6708,0.8939,0.7731,1331.92,44.65,2161.129883
606.59,13.38,3.85,6.6756,0.8944,0.7705,1320.91,47.07,2172.399902
606.82,13.39,3.85,6.6753,0.8932,0.7721,1319.13,47.72,2172.669922
609.73,13.3,3.85,6.6739,0.8968,0.773,1319.42,47.72,2175.300049
612.57,13.56,3.85,6.6716,0.8925,0.7804,1311.58,48.8,2164.409912
612.05,13.44,3.86,6.6716,0.898,0.7863,1306.11,48.67,2165.459961
613.81,13.19,3.84,6.6716,0.894,0.7883,1267.73,49.75,2163.949951
613.82,13.08,3.85,6.6716,0.8976,0.7934,1261.54,50.44,2162.929932
617.91,12.76,3.85,6.6716,0.9006,0.8461,1250.83,49.76,2165.860107
621.32,12.23,3.85,6.7081,0.8985,0.8104,1257.21,49.76,2169.600098
642.08,12.09,3.82,6.722,0.9052,0.8274,1254.54,50.72,2161.560059
641.34,12.1,3.96,6.7237,0.909,0.8261,1251.61,50.14,2145.360107
638.83,12.06,3.91,6.7341,0.9105,0.8244,1254.57,50.47,2138.189941
641.28,11.98,3.9,6.7289,0.9118,0.8219,1252.14,50.35,2149.189941
642.33,12.92,3.87,6.7425,0.9123,0.8241,1249.77,49.97,2135.610107
640.74,12.65,3.84,6.7419,0.9118,0.8213,1254.13,50.3,2144.379883
638.87,12.26,3.8,6.7413,0.9128,0.8161,1258.28,51.59,2148.439941
631.92,12.13,3.83,6.7454,0.9163,0.819,1266.57,50.31,2147.179932
634.09,12.16,3.91,6.7672,0.9211,0.8219,1259.57,50.61,2142.629883
657.25,11.96,3.9,6.7764,0.9211,0.8209,1260.94,50.18,2154.790039
664.42,11.69,3.99,6.7841,0.9217,0.8276,1261.74,49.45,2151.439941
679.73,11.57,4.05,6.7747,0.9198,0.8226,1270.74,48.75,2145.72998
688.59,11.6,4,6.7851,0.9192,0.8231,1262.97,49.71,2147.129883
