Date,Price,Open,High,Low,Vol.,Change %
11/05/19,43.53,41.75,43.53,41.75,0.10K,0.42%
11/04/19,43.35,43.35,43.35,43.35,0.17K,0.16%
11/01/19,43.28,43.28,43.28,43.28,0.08K,0.00%
10/31/19,43.28,43.28,43.28,43.28,0.00K,0.12%
10/30/19,43.23,43.23,43.23,43.23,0.00K,0.16%
10/29/19,43.16,43.16,43.16,43.16,0.01K,0.30%
10/28/19,43.03,43.03,43.03,43.03,-,0.26%
10/25/19,42.92,42.99,43,42.92,0.20K,-2.28%
10/24/19,43.92,43.92,43.92,43.92,0.00K,1.93%
10/23/19,43.09,43.09,43.09,43.09,0.00K,-2.42%
10/22/19,44.16,44.16,44.16,44.16,0.07K,0.48%
10/21/19,43.95,43.95,43.95,43.95,-,0.00%
10/18/19,43.95,43.95,43.95,43.95,-,0.00%
10/17/19,43.95,43.95,43.95,43.95,0.03K,-0.61%
10/16/19,44.22,44.22,44.22,44.22,-,-0.56%
10/15/19,44.47,44.47,44.47,44.47,-,0.72%
10/14/19,44.15,42.91,44.15,42.91,0.32K,-0.02%
10/11/19,44.16,43.84,44.16,43.84,0.34K,1.28%
10/10/19,43.6,42.82,43.6,42.82,0.24K,1.47%
10/09/19,42.97,42.97,42.97,42.97,0.00K,-2.12%
10/08/19,43.9,43.9,43.9,43.9,0.00K,1.39%
10/07/19,43.3,43.3,43.3,43.3,0.35K,-0.09%
10/04/19,43.34,43.34,43.34,43.34,0.01K,-0.80%
10/03/19,43.69,43.69,43.69,43.69,-,0.32%
10/02/19,43.55,43.55,43.55,43.55,0.00K,-0.30%
10/01/19,43.68,43.68,43.68,43.68,-,-0.16%
09/30/19,43.75,43.15,43.75,43.05,13.11K,-0.14%
09/27/19,43.81,43.25,44,42.52,7.85K,1.25%
09/26/19,43.27,42.67,43.4,42.67,0.66K,0.70%
09/25/19,42.97,43.3,43.3,42.55,5.45K,-1.51%
09/24/19,43.63,43.73,43.73,43.63,0.10K,0.34%
09/23/19,43.48,43.8,44.2,43.48,2.41K,0.32%
09/20/19,43.34,45,45,42.87,3.02K,-1.92%
09/19/19,44.19,43.1,44.19,43.1,0.10K,-0.18%
09/18/19,44.27,44.27,44.27,44.27,0.01K,2.24%
09/17/19,43.3,43.6,43.6,43.3,0.81K,0.39%
09/16/19,43.13,43.6,43.6,43.13,0.30K,-1.08%
09/13/19,43.6,43.6,43.6,43.6,-,1.35%
09/12/19,43.02,43.02,43.02,43.02,-,-1.96%
09/11/19,43.88,43.88,43.88,43.88,0.00K,0.48%
09/10/19,43.67,43.2,43.67,43.2,0.81K,1.32%
09/09/19,43.1,43.1,43.1,43.1,0.10K,1.13%
09/06/19,42.62,42.79,42.97,42.62,0.40K,0.88%
09/05/19,42.25,42.25,42.25,42.25,0.14K,-0.31%
09/04/19,42.38,42.37,42.38,42.37,0.25K,0.38%
09/03/19,42.22,42.22,42.22,42.22,0.01K,0.02%
08/30/19,42.21,42.05,42.25,42.05,2.37K,-0.21%
08/29/19,42.3,42.3,42.3,42.3,-,-0.19%
08/28/19,42.38,42.38,42.38,42.38,0.05K,0.19%
08/27/19,42.3,42.3,42.3,42.3,-,0.00%
08/26/19,42.3,42.4,42.4,42.3,0.98K,-0.35%
08/23/19,42.45,42.45,42.45,42.45,0.05K,-0.72%
08/22/19,42.76,42.76,42.76,42.76,-,0.14%
08/21/19,42.7,42.84,43.48,42.7,1.08K,0.14%
08/20/19,42.64,42.1,42.64,41.76,0.65K,0.19%
08/19/19,42.56,42.66,43.01,42.56,1.02K,-1.39%
