Date,Price,Open,High,Low,Change %
11/06/19,0.9035,0.9029,0.9038,0.9014,0.06%
11/05/19,0.903,0.8986,0.9039,0.8977,0.49%
11/04/19,0.8986,0.896,0.8991,0.8949,0.35%
11/01/19,0.8955,0.8967,0.8988,0.8951,-0.13%
10/31/19,0.8967,0.8968,0.8985,0.8948,-0.02%
10/30/19,0.8969,0.9,0.9025,0.8966,-0.34%
10/29/19,0.9,0.901,0.9032,0.8993,-0.10%
10/28/19,0.9009,0.9024,0.903,0.9004,-0.18%
10/25/19,0.9025,0.9006,0.9032,0.8991,0.22%
10/24/19,0.9005,0.8982,0.9014,0.8958,0.23%
10/23/19,0.8984,0.8989,0.9004,0.8976,-0.06%
10/22/19,0.8989,0.8968,0.8995,0.8962,0.21%
10/21/19,0.897,0.8973,0.8978,0.8944,0.20%
10/18/19,0.8952,0.899,0.8999,0.8951,-0.42%
10/17/19,0.899,0.9032,0.9039,0.8976,-0.47%
10/16/19,0.9032,0.9064,0.9073,0.9021,-0.34%
10/15/19,0.9063,0.9067,0.91,0.9052,-0.04%
10/14/19,0.9067,0.9054,0.908,0.9049,0.12%
10/11/19,0.9056,0.9085,0.9091,0.904,-0.33%
10/10/19,0.9086,0.9115,0.9116,0.9062,-0.32%
10/09/19,0.9115,0.9128,0.9132,0.91,-0.13%
10/08/19,0.9127,0.9114,0.9141,0.9094,0.13%
10/07/19,0.9115,0.911,0.9123,0.909,0.07%
10/04/19,0.9109,0.9122,0.9128,0.9096,-0.11%
10/03/19,0.9119,0.9125,0.9141,0.9091,-0.07%
10/02/19,0.9125,0.9147,0.9171,0.912,-0.24%
10/01/19,0.9147,0.9174,0.9193,0.9139,-0.29%
09/30/19,0.9174,0.9141,0.9187,0.9133,0.35%
09/27/19,0.9142,0.9155,0.917,0.9123,-0.15%
09/26/19,0.9156,0.9138,0.9167,0.9117,0.19%
09/25/19,0.9139,0.9074,0.9143,0.9071,0.72%
09/24/19,0.9074,0.9095,0.9105,0.9071,-0.24%
09/23/19,0.9096,0.9077,0.912,0.907,0.22%
09/20/19,0.9076,0.9056,0.9094,0.9034,0.21%
09/19/19,0.9057,0.9066,0.9072,0.903,-0.10%
09/18/19,0.9066,0.903,0.908,0.9028,0.38%
09/17/19,0.9032,0.9091,0.91,0.903,-0.64%
09/16/19,0.909,0.902,0.9097,0.9014,0.66%
09/13/19,0.903,0.9041,0.9046,0.9002,-0.11%
09/12/19,0.904,0.9082,0.9153,0.902,-0.47%
09/11/19,0.9083,0.9055,0.9103,0.9043,0.31%
09/10/19,0.9055,0.9052,0.9065,0.9041,0.03%
09/09/19,0.9052,0.9071,0.908,0.9034,-0.17%
09/06/19,0.9067,0.9062,0.9076,0.9044,0.06%
09/05/19,0.9062,0.9062,0.9077,0.9021,0.00%
09/04/19,0.9062,0.9113,0.9119,0.9059,-0.56%
09/03/19,0.9113,0.9115,0.9153,0.9109,-0.04%
09/02/19,0.9117,0.9102,0.9127,0.9091,0.20%
08/30/19,0.9099,0.9045,0.9123,0.9041,0.61%
08/29/19,0.9044,0.9029,0.9058,0.9016,0.18%
08/28/19,0.9028,0.9016,0.9031,0.901,0.13%
08/27/19,0.9016,0.9005,0.9021,0.8994,0.09%
08/26/19,0.9008,0.8973,0.9014,0.8955,0.39%
08/23/19,0.8973,0.9024,0.9048,0.8965,-0.58%
08/22/19,0.9025,0.9022,0.904,0.8999,0.03%
08/21/19,0.9022,0.9009,0.9025,0.9003,0.14%
08/20/19,0.9009,0.9025,0.9038,0.9003,-0.20%
08/19/19,0.9027,0.9016,0.903,0.8998,0.11%
08/16/19,0.9017,0.9004,0.9037,0.8998,0.14%
08/15/19,0.9004,0.8977,0.9017,0.8961,0.29%
08/14/19,0.8978,0.8952,0.8984,0.8934,0.29%
08/13/19,0.8952,0.8917,0.8953,0.8905,0.37%
08/12/19,0.8919,0.8925,0.896,0.8903,-0.11%
08/09/19,0.8929,0.8944,0.8945,0.8911,-0.17%
08/08/19,0.8944,0.893,0.8946,0.8902,0.16%
08/07/19,0.893,0.893,0.8946,0.8895,0.01%
08/06/19,0.8929,0.8927,0.8954,0.8889,0.02%
08/05/19,0.8927,0.9005,0.9005,0.8918,-0.83%
08/02/19,0.9002,0.9022,0.9034,0.8995,-0.22%
