"Bitcoin","Ethereum","Litecoin","Gold","Oil","Chinese Yuan","Europe","Pound","SP","Dow Jones","EPU Index","NASDAQ","New York Stock Exchange","Volatil Index"
576.31,12.37,3.86,1305.06,43.17,6.6807,0.8988,0.7618,2173.560059,18430.05078,38.52,5229.939941,10780.70996,156
575.64,12.41,3.93,1308.71,44.39,6.6832,0.8971,0.7548,2184.870117,18544.75977,40.85,5263.390137,10867.84961,48
610.83,11.86,3.97,1322.6,44.85,6.6903,0.8979,0.7521,2186.570068,18551.53906,30.28,5275.910156,10891.21973,15
614.54,11.72,4.03,1346.43,45.47,6.6751,0.8907,0.7509,2187.870117,18536.89063,22.17,5287.609863,10898.75977,36
628.77,11.76,3.99,1342.44,47.63,6.6691,0.8902,0.753,2184.939941,18506.24023,27.04,5271.009766,10903.86035,79
626.83,12.06,3.99,1333.2,45.88,6.6842,0.8932,0.7554,2169.080078,18404.16992,35.65,5225.930176,10799.12988,468
608.46,12.14,3.84,1324.04,46.28,6.6823,0.8921,0.7557,2163.300049,18358.68945,39.54,5217.879883,10760.58984,235
611.19,12.06,3.85,1325.29,44.91,6.6814,0.8927,0.7595,2150.469971,18262.99023,67.65,5195.029785,10644.46973,453
611.95,12.14,3.84,1315.95,43.62,6.6822,0.8922,0.7612,2141.330078,18163.48047,28.87,5201.339844,10596.4502,423
611.09,12.81,3.83,1318.1,43.85,6.6734,0.8913,0.7587,2151.310059,18250.10938,30.61,5254.779785,10625.79981,377
609.26,12.92,3.83,1310.82,43.04,6.6734,0.8971,0.7696,2146.47998,18217.21094,44.18,5248.600098,10554.09961,332
610.93,14.75,3.84,1310.7,43.34,6.6755,0.897,0.7693,2153.610107,18254.88086,74.44,5281.069824,10625.69043,345
609.53,14.84,3.94,1311.03,43.85,6.6745,0.8972,0.7724,2150.800049,18227.21094,58.92,5265.180176,10620.36035,378
603.59,13.84,3.89,1312.78,45.33,6.6759,0.8995,0.7726,2165.110107,18307.42969,31.41,5299.399902,10716.58008,237
